INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2026-04-07T06:00:00-00:00,2026-04-07T07:00:00-00:00,1,2026-04-06,24,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2026-04-06T15:00:00-00:00,2026-04-06T16:00:00-00:00,1,2026-04-06,9,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2026-04-06T07:00:00-00:00,2026-04-06T08:00:00-00:00,1,2026-04-06,1,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2026-04-06T13:00:00-00:00,2026-04-06T14:00:00-00:00,1,2026-04-06,7,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2026-04-06T22:00:00-00:00,2026-04-06T23:00:00-00:00,1,2026-04-06,16,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2026-04-06T08:00:00-00:00,2026-04-06T09:00:00-00:00,1,2026-04-06,2,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2026-04-06T12:00:00-00:00,2026-04-06T13:00:00-00:00,1,2026-04-06,6,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2026-04-06T09:00:00-00:00,2026-04-06T10:00:00-00:00,1,2026-04-06,3,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2026-04-06T11:00:00-00:00,2026-04-06T12:00:00-00:00,1,2026-04-06,5,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2026-04-06T14:00:00-00:00,2026-04-06T15:00:00-00:00,1,2026-04-06,8,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2026-04-06T18:00:00-00:00,2026-04-06T19:00:00-00:00,1,2026-04-06,12,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2026-04-06T19:00:00-00:00,2026-04-06T20:00:00-00:00,1,2026-04-06,13,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2026-04-06T20:00:00-00:00,2026-04-06T21:00:00-00:00,1,2026-04-06,14,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2026-04-06T23:00:00-00:00,2026-04-07T00:00:00-00:00,1,2026-04-06,17,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2026-04-07T02:00:00-00:00,2026-04-07T03:00:00-00:00,1,2026-04-06,20,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2026-04-07T04:00:00-00:00,2026-04-07T05:00:00-00:00,1,2026-04-06,22,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2026-04-06T17:00:00-00:00,2026-04-06T18:00:00-00:00,1,2026-04-06,11,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2026-04-06T10:00:00-00:00,2026-04-06T11:00:00-00:00,1,2026-04-06,4,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2026-04-07T03:00:00-00:00,2026-04-07T04:00:00-00:00,1,2026-04-06,21,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2026-04-07T01:00:00-00:00,2026-04-07T02:00:00-00:00,1,2026-04-06,19,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2026-04-07T05:00:00-00:00,2026-04-07T06:00:00-00:00,1,2026-04-06,23,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2026-04-06T17:00:00-00:00,2026-04-06T18:00:00-00:00,1,2026-04-06,11,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3223.36,DAM,3
2026-04-06T10:00:00-00:00,2026-04-06T11:00:00-00:00,1,2026-04-06,4,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3411.51,DAM,3
2026-04-06T22:00:00-00:00,2026-04-06T23:00:00-00:00,1,2026-04-06,16,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3966.36,DAM,3
2026-04-07T01:00:00-00:00,2026-04-07T02:00:00-00:00,1,2026-04-06,19,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4629.33,DAM,3
2026-04-07T04:00:00-00:00,2026-04-07T05:00:00-00:00,1,2026-04-06,22,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4383.76,DAM,3
2026-04-07T05:00:00-00:00,2026-04-07T06:00:00-00:00,1,2026-04-06,23,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4097.46,DAM,3
2026-04-06T07:00:00-00:00,2026-04-06T08:00:00-00:00,1,2026-04-06,1,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3766.34,DAM,3
2026-04-06T18:00:00-00:00,2026-04-06T19:00:00-00:00,1,2026-04-06,12,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3181.28,DAM,3
2026-04-06T09:00:00-00:00,2026-04-06T10:00:00-00:00,1,2026-04-06,3,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3458.96,DAM,3
2026-04-06T11:00:00-00:00,2026-04-06T12:00:00-00:00,1,2026-04-06,5,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3466.49,DAM,3
